keyword,aliases,pronunciation,old_term,new_term,english,description,clinical_feature,related_disease,related_assessment,tool_used,evaluation_method,normal_rom,mmt_grade,normal_value,score_interpretation,cutoff_value,measurement_position,related_special_test,related_exercise,exercise_protocol,clinical_use,clinical_tip
Scalene,"scalene,사각근,목갈비근,스칼렌","스칼렌","사각근","목갈비근","Scalene","목갈비근(Scalene)은 앞목갈비근(anterior scalene), 중간목갈비근(middle scalene), 뒤목갈비근(posterior scalene)으로 구성되며 목뼈(cervical spine)의 가쪽굽힘(lateral flexion), 보조적 굽힘(flexion) 및 들숨(inspiration) 시 보조호흡근 역할을 수행함.","목 통증, 호흡 보조 증가, 위팔 저림","가슴출구증후군|앞쪽머리자세","MMT|ROM","검사자 손","목뼈 가쪽굽힘 저항 및 촉진 평가","목뼈 가쪽굽힘 45°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 긴장도 기반 평가","과긴장 시 신경·혈관 압박 가능","앉은자세(Sitting)","Adson test","목 스트레칭|호흡운동","유연성 회복→자세교정","목 안정성 평가","가슴출구증후군 증상 확인"
Levator scapulae,"levator scapulae,견갑거근,어깨올림근,레베이터 스캐풀리","레베이터 스캐풀리","견갑거근","어깨올림근","Levator Scapulae","어깨올림근(Levator Scapulae)은 어깨뼈(scapula)의 올림(elevation)과 아래쪽돌림(downward rotation)에 관여하며 목뼈 가쪽굽힘에도 기여함. 자세 이상 시 단축이 흔함.","목 통증, 어깨 긴장, trigger point","앞쪽머리자세|목통증","MMT|ROM","검사자 손","어깨뼈 올림 저항 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 긴장도 기반 평가","과긴장 시 목·어깨 통증 증가","앉은자세(Sitting)","Palpation","목 스트레칭|견갑 안정화 운동","유연성 회복→자세교정","견갑 움직임 평가","등세모근과 감별 필요"
Iliopsoas,"iliopsoas,장요근,엉덩허리근,일리옵소아스","일리옵소아스","장요근","엉덩허리근","Iliopsoas","엉덩허리근(Iliopsoas)은 큰허리근(psoas major)과 엉덩근(iliacus)으로 구성되며 엉덩관절(hip joint)의 굽힘(flexion)을 담당하는 주요 근육임. 보행 시 하지 전진과 골반 안정성에 중요하며 단축 시 골반 앞기울임(anterior pelvic tilt)을 유발할 수 있음.","엉덩관절 굽힘 약화, 허리 과앞굽음, 골반 앞기울임","허리통증|엉덩굽힘근 단축","MMT|ROM","검사자 손","엉덩관절 굽힘 저항 평가","엉덩관절 굽힘 120°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 단축 여부 기반 평가","Thomas test 양성 시 단축 의심","앉은자세(Sitting)","Thomas test","엉덩굽힘근 스트레칭|SLR 운동","유연성 회복→근력강화","엉덩관절 기능 평가","허리 과앞굽음 보상 확인"
Gluteus maximus,"gluteus maximus,대둔근,큰볼기근,글루테우스 맥시무스","글루테우스 맥시무스","대둔근","큰볼기근","Gluteus Maximus","큰볼기근(Gluteus Maximus)은 엉덩관절의 폄(extension)과 가쪽돌림(external rotation)을 담당하는 강력한 근육으로 계단 오르기, 달리기, 앉았다 일어서기 동작에 중요함.","엉덩관절 폄 약화, Trendelenburg gait, 계단 오르기 어려움","보행장애|허리통증","MMT","검사자 손","엉덩관절 폄 저항 평가","엉덩관절 폄 20°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 기반 평가","계단 오르기 어려움 시 의심","엎드린자세(Prone)","Bridge test","브리지 운동|엉덩근 강화 운동","근활성화→근력강화","보행 기능 평가","뒤넙다리근 보상 확인"
Gluteus medius,"gluteus medius,중둔근,중간볼기근,글루테우스 미디우스","글루테우스 미디우스","중둔근","중간볼기근","Gluteus Medius","중간볼기근(Gluteus Medius)은 엉덩관절 벌림(abduction)을 담당하며 한발서기 시 골반 안정화(pelvic stabilization)에 핵심적인 역할을 수행함.","골반 처짐, Trendelenburg gait, 보행 불안정","보행장애|허리통증","MMT","검사자 손","엉덩관절 벌림 저항 평가","엉덩관절 벌림 45°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 골반 안정성 평가","Trendelenburg 양성 시 약화 의심","옆누운자세(Side lying)","Trendelenburg test","옆누운자세 벌림 운동(clamshell)","근활성화→보행교정","골반 안정성 평가","몸통 기울임 보상 확인"
Transversus abdominis,"transversus abdominis,복횡근,배가로근,트랜스버서스 앱도미니스","트랜스버서스 앱도미니스","복횡근","배가로근","Transversus Abdominis","배가로근(Transversus Abdominis)은 복부 심부 안정화 근육(core stabilizer)으로 복압(intra-abdominal pressure) 조절과 허리뼈 안정화(lumbar stabilization)에 중요한 역할을 함.","허리 불안정성, 자세 불안정","허리통증|자세이상","MMT|Core stability test","Pressure biofeedback","복부 drawing-in maneuver 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","심부 안정성 기반 평가","허리통증 환자에서 약화 흔함","바로누운자세(Supine)","Drawing-in test","드로잉인 운동|코어 안정화 운동","활성화→지구력 강화","몸통 안정성 평가","복직근 보상 확인"
Multifidus,"multifidus,다열근,뭇갈래근,멀티피두스","멀티피두스","다열근","뭇갈래근","Multifidus","뭇갈래근(Multifidus)은 척주(spine)의 분절 안정화(segmental stabilization)에 중요한 심부 근육으로 허리뼈 안정성과 자세 유지에 기여함.","허리 불안정성, 만성 허리통증","허리통증","MMT|Palpation","검사자 손","허리뼈 분절 안정화 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","심부 안정성 기반 평가","만성 허리통증에서 위축 흔함","엎드린자세(Prone)","Prone instability test","Bird-dog 운동|코어 안정화 운동","활성화→지구력 강화","허리 안정성 평가","배가로근과 함께 평가"
Erector spinae,"erector spinae,척추기립근,척추세움근,이렉터 스파이니","이렉터 스파이니","척추기립근","척추세움근","Erector Spinae","척추세움근(Erector Spinae)은 엉덩갈비근(iliocostalis), 가장긴근(longissimus), 가시근(spinalis)으로 구성되며 척주의 폄(extension)과 자세 유지(postural control)에 관여함.","허리 통증, 자세 불량, 허리 피로","허리통증|자세이상","MMT|ROM","검사자 손","몸통 폄 저항 평가","몸통 폄 정상 ROM","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","자세 및 근력 기반 평가","허리 피로감 시 약화 의심","엎드린자세(Prone)","Sorensen test","허리 신전 운동","근지구력→자세교정","몸통 안정성 평가","과긴장 여부 확인"
Quadriceps femoris,"quadriceps femoris,대퇴사두근,넙다리네갈래근,쿼드리셉스","쿼드리셉스","대퇴사두근","넙다리네갈래근","Quadriceps Femoris","넙다리네갈래근(Quadriceps Femoris)은 넙다리곧은근(rectus femoris), 안쪽넓은근(vastus medialis), 가쪽넓은근(vastus lateralis), 중간넓은근(vastus intermedius)으로 구성되며 무릎관절 폄(extension)의 주요 근육임.","무릎 폄 약화, 계단 오르기 어려움","무릎 통증|ACL injury","MMT","검사자 손","무릎관절 폄 저항 평가","무릎관절 폄 0°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 기반 평가","계단 오르기 어려움 시 약화 의심","앉은자세(Sitting)","Patellar grind test","SLR 운동|무릎 폄 운동","근활성화→근력강화","무릎 안정성 평가","VMO 활성화 여부 확인"
Hamstring,"hamstring,hamstrings,햄스트링,슬괵근,뒤넙다리근","햄스트링","슬괵근","뒤넙다리근","Hamstring","뒤넙다리근(Hamstring)은 반힘줄근(semitendinosus), 반막근(semimembranosus), 넙다리두갈래근(biceps femoris)으로 구성되며 무릎관절 굽힘(flexion)과 엉덩관절 폄(extension)에 관여함.","무릎 굽힘 약화, 유연성 감소","허리통증|무릎 손상","MMT|ROM","검사자 손","무릎관절 굽힘 저항 평가","무릎관절 굽힘 135°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 유연성 기반 평가","SLR 제한 시 단축 의심","엎드린자세(Prone)","SLR","뒤넙다리근 스트레칭","유연성 회복→근력강화","보행 기능 평가","넙다리네갈래근과 균형 확인"
Gastrocnemius,"gastrocnemius,비복근,장딴지근,개스트로크니미우스","개스트로크니미우스","비복근","장딴지근","Gastrocnemius","장딴지근(Gastrocnemius)은 안쪽갈래(medial head)와 가쪽갈래(lateral head)로 구성되며 발목관절의 발바닥굽힘(plantar flexion)과 무릎관절 굽힘(flexion)에 관여함. 보행의 push-off 단계에서 중요한 역할을 수행함.","발바닥굽힘 약화, 종아리 경련, 보행 추진력 감소","아킬레스건병증|발목 염좌","MMT|ROM","검사자 손","발바닥굽힘 저항 평가 및 발끝서기 검사","발목관절 발바닥굽힘 50°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","발끝서기 및 근력 기반 평가","뒤꿈치 들기 어려움 시 약화 의심","엎드린자세(Prone)|선자세(Standing)","Heel raise test","종아리 강화 운동|Heel raise","근활성화→근력강화","보행 추진력 평가","넙치근과 감별 필요"
Soleus,"soleus,가자미근,넙치근,솔레우스","솔레우스","가자미근","넙치근","Soleus","넙치근(Soleus)은 발목관절의 발바닥굽힘(plantar flexion)을 담당하는 심부 근육으로 자세 유지(postural control)와 장시간 서기 시 중요한 역할을 수행함.","종아리 피로, 발바닥굽힘 약화","아킬레스건병증","MMT|ROM","검사자 손","무릎 굽힘 상태에서 발바닥굽힘 저항 평가","발목관절 발바닥굽힘 50°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 지구력 기반 평가","장시간 보행 시 피로 증가","앉은자세(Sitting)|엎드린자세(Prone)","Heel raise test","종아리 강화 운동","근지구력→근력강화","자세 유지 기능 평가","장딴지근과 구분 필요"
Tibialis anterior,"tibialis anterior,전경골근,앞정강근,티비알리스 안테리어","티비알리스 안테리어","전경골근","앞정강근","Tibialis Anterior","앞정강근(Tibialis Anterior)은 발목관절의 발등굽힘(dorsiflexion)과 안쪽번짐(inversion)을 담당하며 보행 시 발끌림(foot drop) 예방에 중요한 역할을 함.","발등굽힘 약화, foot drop, 보행 이상","말초신경 손상|발목 염좌","MMT|ROM","검사자 손","발등굽힘 저항 평가","발목관절 발등굽힘 20°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 기반 평가","foot drop 시 약화 의심","앉은자세(Sitting)","Heel walking","발등굽힘 강화 운동","ROM 회복→근력강화","보행 기능 평가","종아리 앞쪽 통증 확인"
Fibularis longus,"fibularis longus,장비골근,긴비골근,긴종아리근,페로니우스 롱구스","페로니우스 롱구스","장비골근","긴종아리근","Fibularis Longus","긴종아리근(Fibularis Longus)은 발목관절의 가쪽번짐(eversion)과 발바닥굽힘(plantar flexion)을 담당하며 발의 가로활(transverse arch) 유지에 기여함.","발목 불안정성, 가쪽 통증","발목 염좌","MMT|ROM","검사자 손","가쪽번짐 저항 평가","발목관절 가쪽번짐 정상 ROM","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","근력 및 안정성 기반 평가","반복 발목 삠 시 약화 의심","앉은자세(Sitting)","Talar tilt test","발목 안정화 운동","균형훈련→근력강화","발목 안정성 평가","ATFL 손상 동반 확인"
Intrinsic hand muscle,"intrinsic hand muscle,손고유근,손 intrinsic muscle","인트린직 핸드 머슬","","손고유근","Intrinsic Hand Muscle","손고유근(Intrinsic Hand Muscle)은 벌레근(lumbrical), 뼈사이근(interossei), 새끼벌림근(abductor digiti minimi) 등을 포함하며 손가락의 미세 움직임(fine motor control)과 집기(grip)에 중요한 역할을 함.","악력 감소, 미세운동 저하","말초신경 손상|손목굴증후군","MMT","악력계|검사자 손","손가락 벌림 및 집기 기능 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","악력 및 기능 기반 평가","손가락 벌림 약화 시 신경손상 의심","앉은자세(Sitting)","Froment sign","손 기능 훈련|악력 운동","미세운동→기능훈련","손 기능 평가","정중신경·자신경 감별 필요"
Orbicularis oculi,"orbicularis oculi,안륜근,눈둘레근,오비큘라리스 오큘라이","오비큘라리스 오큘라이","안륜근","눈둘레근","Orbicularis Oculi","눈둘레근(Orbicularis Oculi)은 눈꺼풀을 닫는(closing of eyelid) 기능을 담당하는 얼굴근육(facial muscle)으로 얼굴신경(facial nerve, CN VII)의 지배를 받음.","눈 감기 어려움, 눈물 흘림","벨마비","MMT","거울|검사자 손","눈 감기 유지 능력 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","얼굴 움직임 기반 평가","눈 감기 어려움 시 얼굴신경 손상 의심","앉은자세(Sitting)","Facial expression test","안면운동|마사지","ROM→표정훈련","얼굴신경 기능 평가","각막 보호 중요"
Orbicularis oris,"orbicularis oris,구륜근,입둘레근,오비큘라리스 오리스","오비큘라리스 오리스","구륜근","입둘레근","Orbicularis Oris","입둘레근(Orbicularis Oris)은 입술 닫기(lip closure), 발음(articulation), 음식물 유지에 관여하는 얼굴근육으로 얼굴신경(facial nerve, CN VII)의 지배를 받음.","입술 비대칭, 발음 어려움, 음식물 흘림","벨마비|삼킴장애","MMT","거울|검사자 손","입술 오므리기 및 저항 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","얼굴 움직임 기반 평가","입술 닫기 어려움 시 의심","앉은자세(Sitting)","Facial expression test","입술 운동|안면운동","ROM→표정훈련","얼굴신경 기능 평가","구강 기능 확인"
Diaphragm,"diaphragm,횡격막,가로막,다이어프램","다이어프램","횡격막","가로막","Diaphragm","가로막(Diaphragm)은 주요 들숨근(primary inspiratory muscle)으로 흉강(thoracic cavity)과 배안(abdominal cavity)을 구분하며 호흡과 몸통 안정화(core stability)에 중요한 역할을 함.","호흡곤란, 흉곽 움직임 감소","척수손상|호흡장애","Breathing assessment","호흡평가 도구","복식호흡 및 흉곽 움직임 평가","","","","호흡패턴 기반 평가","호흡 보조근 과사용 시 약화 의심","바로누운자세(Supine)|앉은자세(Sitting)","Sniff test","횡격막 호흡운동","호흡조절→지구력 강화","호흡 기능 평가","목갈비근 과활성화 확인"
Pelvic floor muscle,"pelvic floor muscle,골반저근,골반바닥근","펠빅 플로어","","골반바닥근","Pelvic Floor Muscle","골반바닥근(Pelvic Floor Muscle)은 방광, 자궁, 직장을 지지하며 배뇨·배변 조절과 몸통 안정화(core stabilization)에 기여하는 근육군임.","요실금, 골반 불안정성","골반저기능장애|허리통증","MMT","바이오피드백","골반저 수축 유지 능력 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","수축 유지 시간 기반 평가","요실금 동반 시 기능 저하 의심","바로누운자세(Supine)","Pelvic floor contraction","케겔 운동","근활성화→지구력 강화","골반 안정성 평가","복압 조절 함께 평가"
Piriformis,"piriformis,이상근,궁둥구멍근,피리포미스","피리포미스","이상근","궁둥구멍근","Piriformis","궁둥구멍근(Piriformis)은 엉덩관절의 가쪽돌림(external rotation)과 안정성에 관여하며 좌골신경(sciatic nerve) 압박 시 궁둥구멍근 증후군(piriformis syndrome)을 유발할 수 있음.","볼기 통증, 좌골신경통","궁둥구멍근 증후군|허리통증","ROM|Palpation","검사자 손","엉덩관절 가쪽돌림 및 압통 평가","엉덩관절 가쪽돌림 정상 ROM","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","압통 및 유연성 기반 평가","FAIR test 양성 시 의심","옆누운자세(Side lying)","FAIR test","궁둥구멍근 스트레칭","유연성 회복→기능훈련","볼기 통증 평가","궁둥신경 방사통 확인"
